isValid,review
1,感觉质量一般般吧，不过挺好看的，很有个性，欧美风，喜欢
1,好就是太大了，现在已经申请寄换小一码。
1,衣服真是一般，图片挺漂亮，真实的很一般，毫无设计感，不值这个钱
1,一般般，不太适合我
1,上衣质量好，裤子料子稍差点。总的来说还可以
1,裤子粘毛毛
1,上衣质量很好。裤子质量差一点。要是裤子和上衣一个面料一样就好了。
1,衣服还不错，和介绍的差不多，还能接受
1,很合身的裤子，上衣风衣款，很贴身，但不要内穿长袖的T衫，因为面料手感很温和，内穿紧身运动内衣就很摩登！
1,女款外衣运动魅力十足。我165穿M号，裤子十分贴身舒适。上衣跑步时穿着也很美。秀一秀了。
-1,也很舒服，很适合我这种爱运动的女孩
1,裤子很贴身，很喜欢，上衣宽松。总体不错。
1,面料也很舒服，有弹性
1,大红色的小狗图案，狗年旺旺旺，用了几次没坏，充电比较快，大概三到四个钟充满电，买充电线最怕遇到无法识别设备，特意选了京东自营，相信京东，希望耐用，快递小哥服务贼好，不方便下> 楼拿还给送上门
1,很不错，足够长，也很美观！
1,便宜，刚拿回来插一下显示了一次不支援此配件，后来重新插一下好了，希望能用久一点，支撑到等我换iPhone 11，哈哈哈哈！
1,能用，但是接口连接很松，容易接触不良。
1,用了不到一个月坏了一天，老板果断又发一条过来！
1,线够长  新到手  看起来会很耐使用   时间久了会不会变软一点   新的微微感觉有点硬
1,很好用，这是买的第二个了 ，线很长
-1,喜欢这样的颜色，物流也很快，谢谢非常好
-1,红色很真正点  用过了很好用还是非常不错 京东快递隔天达非常好
-1,很好
-1,质量还是很不错的
-1,还没用，不知道怎么样，看起来不错
-1,线很长在用很方便！
-1,个人感觉比品胜的好，充电挺快的
-1,很好 快递超级快。
-1,喜欢这样的颜色，物流也很快，谢谢非常好
-1,目前还没有发现问题，挺好用的。
-1,不错
-1,一直用图拉斯的产品，很赞很赞的。
-1,很好用，第二次购买了
-1,非常好，比超市便宜实惠，下次还来买
1,还是这个线比较好，之前新款铝合金的接头处容易断
-1,信赖
-1,质量棒棒的，效果不错，???
-1,此用户未填写评价内容
-1,好用。。。。
-1,挺好用的。。。
1,数据线比较细，希望不要断就好了
1,没有充电头
-1,还行 不错
-1,还可以，一直在购买，物流很快
-1,此用户未填写评价内容
-1,质量不错，充电迅速，已经是第二次购买了
-1,商家服务很好，必须好评，物流也快
-1,一次一场的活动
-1,此用户未填写评价内容
-1,此用户未填写评价内容
-1,很不错
-1,发货很快 收到就开始使用还不错 赞一个
-1,好用，也漂亮，物流也很快
-1,耐用度蛮高的，而且还好看
1,搞活动买的，充电头和线都非常的好用，双充电孔简直太方便了，性价比超级高，重点是颜值高，物流也很给力，一直信赖京东。
-1,刚才试穿了一下，很合身，弹性十足提臀塑身欢迎大家购买
1,大小刚好，第一次买运动装，一点都不失望，料子也很舒服，不像有些衣服跟一次性的似的，摸着都会起毛，这个完全不会，超喜欢
-1,衣服有弹性，穿着很舒服，适合春秋季节穿，喜欢，希望以后还有这么大方的衣服
1,衣服总体还可以，就是太单薄了，不值这个价！
-1,跟圖片一樣，這家店值得信賴
